0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
2283.333333,-223.1111111,-149.7777778,78.66666667,-237.9444444,366.4444444,1846,-1104,-816,-556,-1225,-465,3114,468,540,524,922,1372,2305.461053,492.3449559,378.7675922,335.9396441,671.8789987,660.6521189,4239.882353,-245.1764706,-496,-693.2941176,-419.2352941,-1385.705882,2870,-1824,-1284,-2238,-1945,-2867,4866,656,704,379,502,988,4272.618621,732.287311,736.9495154,998.3975396,755.3266142,1754.294847,2956.823529,-1461.882353,-493.1764706,-52.82352941,332.4117647,310.0588235,1806,-2504,-1312,-823,-1265,-2132,4038,-928,48,930,1241,1832,3011.121073,1523.221663,628.0187333,563.6813869,724.5716382,1015.618878,2462.222222,-1010.444444,-262.8888889,-64.77777778,-132.8888889,468.3888889,1402,-1680,-768,-618,-929,-430,3038,-24,524,662,502,2016,2490.547552,1082.812388,428.511636,340.6604696,351.0283306,751.9324364,0
2250.833333,156.5,-221.1666667,82.66666667,-433.9166667,341.5416667,862,-952,-800,-561,-826,-1189,3914,852,216,1380,307,1162,2368.764798,431.4757622,331.2350626,507.6906867,530.688782,633.6340624,1814.173913,-344.5217391,-62.95652174,-29.08695652,216.5217391,-1055.347826,814,-1368,-900,-1306,-1185,-2453,2806,260,760,745,2619,269,1906.52185,535.1849741,354.6442185,509.2605466,1064.442332,1336.316465,2871.043478,-313.0434783,-315.6521739,-30.39130435,257.0869565,160.9130435,866,-1428,-972,-813,-1007,-2521,4082,972,432,823,1149,1556,2984.850532,650.6932758,478.0460229,410.4929698,667.7704305,982.4974167,933.2,-529.28,-96.48,-83.08,292.04,879.84,370,-1188,-512,-629,-399,-452,2714,296,476,266,1173,2269,1116.620688,651.9916564,244.3197904,227.2182211,509.2768599,1257.284916,0
2250.833333,156.5,-221.1666667,82.66666667,-433.9166667,341.5416667,862,-952,-800,-561,-826,-1189,3914,852,216,1380,307,1162,2368.764798,431.4757622,331.2350626,507.6906867,530.688782,633.6340624,1814.173913,-344.5217391,-62.95652174,-29.08695652,216.5217391,-1055.347826,814,-1368,-900,-1306,-1185,-2453,2806,260,760,745,2619,269,1906.52185,535.1849741,354.6442185,509.2605466,1064.442332,1336.316465,2871.043478,-313.0434783,-315.6521739,-30.39130435,257.0869565,160.9130435,866,-1428,-972,-813,-1007,-2521,4082,972,432,823,1149,1556,2984.850532,650.6932758,478.0460229,410.4929698,667.7704305,982.4974167,933.2,-529.28,-96.48,-83.08,292.04,879.84,370,-1188,-512,-629,-399,-452,2714,296,476,266,1173,2269,1116.620688,651.9916564,244.3197904,227.2182211,509.2768599,1257.284916,0
3482.952381,520.1904762,-387.6190476,195.3333333,-567.7142857,113.952381,2198,-376,-892,-1068,-1284,-441,4874,1272,76,1093,-173,1507,3576.741294,726.7655678,488.6919372,510.7893984,624.1902183,457.0054183,5932.4,1242.4,-1207.6,-205.4,-319.65,-974.8,4882,504,-1980,-1262,-1228,-1995,6782,2348,-600,692,469,-346,5956.064405,1300.039384,1258.343037,518.6736932,520.3846174,1058.759132,4892.8,-68.4,-765.4,-488.6,943.5,-17.5,2158,-1576,-1164,-1369,-98,-1820,6374,1216,-356,326,2711,1599,5027.768093,813.7793313,811.2454622,681.7113025,1297.364868,976.8761948,703.3333333,-374.0952381,-108.1904762,177.5714286,190,667.3809524,-254,-1596,-928,-397,-460,-548,2098,276,392,1076,1668,2543,843.4104237,560.0367335,297.1765549,397.2364655,619.2712307,1046.828248,0
1175.777778,-1028.666667,-137.3333333,253.3333333,-459.8888889,464.8333333,430,-1776,-988,-260,-1132,-117,2522,-108,384,862,74,1019,1348.155118,1112.110706,312.4782659,432.5349055,566.3358838,554.780387,2246.941176,-655.7647059,-88.47058824,-58.76470588,-18.70588235,-1160.058824,1402,-1392,-480,-1200,-1500,-2362,2886,-184,372,924,1264,-377,2269.847002,733.3834564,287.5323,554.493993,679.269244,1295.994122,3634,-1204,-616.7058824,-235,-215.6470588,-514.7058824,2830,-2264,-1336,-1385,-1296,-1487,4410,-360,-176,617,1124,414,3664.515537,1370.016745,673.4249598,560.5738132,649.7160466,724.5221549,2312.888889,-1071.111111,-389.7777778,381.7777778,327.7222222,744.1111111,954,-1812,-864,-196,-479,-492,3650,144,112,1382,1621,1771,2454.752941,1171.968145,458.0946045,547.2134461,570.0363049,963.5684258,0
2139.333333,-109.5,-159.3333333,-57.70833333,-78,179.375,1334,-1080,-1152,-1395,-873,-1270,3070,680,356,650,1925,994,2198.937319,432.8564042,364.2252051,582.7499821,653.2123187,657.9936993,2902.695652,-1150.608696,-339.826087,-273.4347826,-337.5652174,-904.6956522,1570,-1936,-1308,-1116,-1083,-2302,4142,-80,764,812,464,312,2981.734745,1220.815978,506.6816169,515.970466,529.5750552,1117.511871,4246.347826,-1194.608696,-571.1304348,0.217391304,13.95652174,-6.173913043,3538,-1928,-1520,-1556,-1696,-1398,5538,-244,756,825,1199,958,4267.246643,1259.506322,755.3173822,671.1913807,650.903753,680.4411612,3017.833333,-569.3333333,-402.3333333,242.3333333,213.25,713.6666667,2046,-1072,-948,-429,-985,-217,4258,40,36,871,689,1423,3084.461055,637.7481216,468.7927758,394.9649774,446.1515064,830.8982589,0
1776.444444,-548.6666667,-57.55555556,419.5,-328.6111111,10.66666667,-22,-1592,-588,-787,-814,-1967,3038,180,864,1028,586,1314,1956.61624,709.5670041,325.6023478,617.5406869,488.103871,757.2810281,3630.470588,438.3529412,-388.2352941,-234.2941176,-562.8823529,-1033.294118,2470,156,-1200,-1055,-2338,-2085,5602,916,56,485,451,2051,3745.064234,488.2284904,531.0535588,568.7188388,805.1652735,1398.787626,3762.235294,-13.41176471,-412.9411765,-205.5294118,1141.941176,292.2352941,1946,-912,-772,-1227,738,-710,5162,752,-60,548,1574,1576,3904.997733,405.070219,485.1750442,535.2588159,1159.069683,725.6088721,1251.777778,-575.7777778,-200.4444444,-104.2222222,132.6666667,541,602,-1308,-704,-690,-722,-1220,1714,-44,420,492,924,1505,1290.498784,659.65715,328.59296,302.30632,402.5170804,874.6331294,0
3619.777778,408.4444444,-341.1111111,120.6111111,-370.2777778,-296.4444444,2898,-156,-1084,-703,-1257,-1770,4942,1228,344,1655,647,602,3660.486974,605.3406754,547.7493344,507.2929791,589.33602,655.590404,5554,815.7647059,-984.7058824,-578.1764706,-431.1764706,-1305,4234,-340,-1472,-1822,-1594,-2605,6074,1832,-424,521,377,216,5570.285556,984.5971407,1029.576269,867.55366,666.7013618,1469.204367,3265.529412,-425.6470588,-380,-55.29411765,1056.058824,280.1176471,1866,-1208,-956,-1579,56,-1465,5602,1016,148,1210,1811,1511,3434.319284,793.0195458,511.2061861,609.0187865,1183.277378,905.2896189,1202,-730.4,-223.8,188.4,97.6,515.15,418,-1580,-644,-992,-191,-747,2046,32,172,1018,544,1912,1277.26489,887.87837,319.1049984,466.5602855,252.8062499,790.794063,0
1980.166667,-371.3333333,-120.1666667,33.5,95.91666667,94.33333333,726,-1020,-900,-1233,-617,-1643,2874,508,848,659,2375,865,2066.636559,552.5745802,397.2278943,397.286106,669.0191203,645.8829228,3021.652174,180.5217391,-367.1304348,95.95652174,-762.1304348,-647.7391304,1126,-748,-924,-711,-1568,-1468,5478,884,336,875,61,201,3316.764662,456.2120026,503.4800631,412.3416165,876.2569357,785.5279587,5279.043478,-59.82608696,-858.6086957,-150.2173913,102.4782609,-246.2173913,4670,-1084,-1512,-1077,-767,-1095,5946,1036,-292,963,980,629,5289.787092,437.5870597,927.6269865,491.6349388,436.9038796,542.6624782,3091.391304,-526.6086957,-448.173913,107.4347826,404.8695652,793.0434783,2086,-1232,-964,-1023,-658,-922,4918,656,76,912,2278,1805,3169.823778,648.9215133,516.7544199,395.2501134,897.319535,1041.310462,0
3427.454545,-194.3636364,-494,150.5,-552.4545455,491.5454545,2114,-748,-980,-529,-1236,-594,4782,368,36,634,4,1698,3519.077307,349.3151742,563.9606692,362.9955547,660.931574,668.2479806,6337.238095,787.6190476,-1369.333333,-227.3333333,-716.2380952,-981.8571429,4430,108,-2244,-1002,-1584,-2000,7650,1684,-472,655,-75,-49,6404.210118,884.4058538,1456.240953,461.2987876,820.8400169,1098.313794,6887.714286,245.7142857,-1578.095238,-343.3809524,548.6190476,-195.2380952,5114,-540,-2248,-1709,-571,-2781,8054,1748,-992,1374,2134,1158,6940.810396,674.0648549,1632.696163,891.4669291,849.9347034,988.1166791,3316.608696,-190.4347826,-541.5652174,162.2173913,346.7391304,979.9130435,2286,-952,-1116,-708,-485,-886,4738,444,68,1068,1460,2741,3379.401516,437.7150155,601.9458303,455.8930557,698.2090443,1286.58297,0
